#{"t_start": 1781094374.7070918, "env_id": "None"}
r,l,t
-10.0,1,2.623636
-10.0,1,2.633164
-10.0,1,2.633164
-10.0,1,2.633164
-10.0,1,2.633164
-10.0,1,2.633164
-10.0,1,2.633164
-10.0,1,2.633164
-10.0,1,2.633164
10.0,1,2.649047
-10.0,1,2.649047
-10.0,1,2.649047
10.0,1,2.649047
-10.0,1,2.649047
-10.0,1,2.649047
-10.0,1,2.649047
-10.0,1,2.649047
-10.0,1,2.649047
-10.0,1,2.664752
-10.0,1,2.664752
-10.0,1,2.664752
-10.0,1,2.664752
-10.0,1,2.672975
3.0,1,2.672975
-10.0,1,2.672975
-10.0,1,2.672975
3.0,1,2.6805
-10.0,1,2.6805
-10.0,1,2.6805
-10.0,1,2.6805
-10.0,1,2.6805
10.0,1,2.6805
3.0,1,2.6805
-10.0,1,2.6805
-10.0,1,2.694318
-10.0,1,2.696362
-10.0,1,2.699281
-10.0,1,2.706629
-10.0,1,2.708142
-10.0,1,2.710147
-10.0,1,2.712152
-10.0,1,2.71333
-10.0,1,2.715718
-10.0,1,2.717723
-10.0,1,2.717723
-10.0,1,2.719728
-10.0,1,2.722334
-10.0,1,2.723841
-10.0,1,2.724857
-10.0,1,2.724857
3.0,1,2.727375
3.0,1,2.729381
3.0,1,2.733389
-10.0,1,2.735393
-10.0,1,2.735393
-10.0,1,2.735393
10.0,1,2.735393
-10.0,1,2.743158
-10.0,1,2.743158
-10.0,1,2.743158
-10.0,1,2.743158
-10.0,1,2.743158
-10.0,1,2.743158
-10.0,1,2.743158
-10.0,1,2.743158
10.0,1,2.759932
-10.0,1,2.759932
-10.0,1,2.759932
-10.0,1,2.759932
-10.0,1,2.759932
-10.0,1,2.770435
10.0,1,2.772439
-10.0,1,2.774444
-10.0,1,2.778453
-10.0,1,2.780176
-10.0,1,2.780176
-10.0,1,2.780176
-10.0,1,2.780176
-10.0,1,2.785587
-10.0,1,2.785587
-10.0,1,2.785587
-10.0,1,2.791512
3.0,1,2.791512
-10.0,1,2.791512
-10.0,1,2.791512
-10.0,1,2.791512
-10.0,1,2.800318
-10.0,1,2.800318
-10.0,1,2.800318
3.0,1,2.800318
3.0,1,2.806038
-10.0,1,2.810281
-10.0,1,2.812256
-10.0,1,2.812256
-10.0,1,2.818407
-10.0,1,2.818407
-10.0,1,2.823677
-10.0,1,2.824971
-10.0,1,2.827922
10.0,1,2.829927
-10.0,1,2.831931
-10.0,1,2.833936
-10.0,1,2.833936
-10.0,1,2.838828
-10.0,1,2.838828
-10.0,1,2.840604
-10.0,1,2.840604
-10.0,1,2.840604
-10.0,1,2.840604
-10.0,1,2.840604
-10.0,1,2.852285
-10.0,1,2.853788
-10.0,1,2.853788
-10.0,1,2.853788
-10.0,1,2.860858
-10.0,1,2.860858
10.0,1,2.860858
-10.0,1,2.860858
-10.0,1,2.868938
-10.0,1,2.870945
-10.0,1,2.870945
-10.0,1,2.87295
-10.0,1,2.87295
-10.0,1,2.87295
-10.0,1,2.87295
3.0,1,2.87295
-10.0,1,2.87295
-10.0,1,2.884752
-10.0,1,2.884752
-10.0,1,2.884752
-10.0,1,2.884752
-10.0,1,2.884752
-10.0,1,2.884752
-10.0,1,2.900417
-10.0,1,2.901423
-10.0,1,2.901423
10.0,1,2.903428
-10.0,1,2.905432
-10.0,1,2.908157
-10.0,1,2.908157
10.0,1,2.908157
-10.0,1,2.908157
-10.0,1,2.917214
10.0,1,2.917214
-10.0,1,2.917214
-10.0,1,2.923606
-10.0,1,2.92576
-10.0,1,2.92576
-10.0,1,2.927765
3.0,1,2.931775
-10.0,1,2.932283
10.0,1,2.932283
-10.0,1,2.932283
-10.0,1,2.932283
-10.0,1,2.932283
-10.0,1,2.932283
-10.0,1,2.932283
-10.0,1,2.932283
-10.0,1,2.94759
-10.0,1,2.94759
-10.0,1,2.94759
-10.0,1,2.94759
10.0,1,2.94759
10.0,1,2.94759
-10.0,1,2.94759
-10.0,1,2.94759
-10.0,1,2.961615
-10.0,1,2.964472
-10.0,1,2.964472
-10.0,1,2.964472
-10.0,1,2.964472
-10.0,1,2.964472
3.0,1,2.964472
-10.0,1,2.964472
-10.0,1,2.979458
-10.0,1,2.979458
-10.0,1,2.979458
-10.0,1,2.979458
-10.0,1,2.979458
-10.0,1,2.979458
-10.0,1,2.979458
-10.0,1,2.979458
-10.0,1,2.996521
-10.0,1,2.996521
-10.0,1,2.996521
10.0,1,2.996521
10.0,1,2.996521
-10.0,1,2.996521
-10.0,1,2.996521
-10.0,1,2.996521
-10.0,1,3.011187
-10.0,1,3.011187
-10.0,1,3.011187
-10.0,1,3.011187
-10.0,1,3.011187
-10.0,1,3.011187
-10.0,1,3.011187
-10.0,1,3.011187
10.0,1,3.023919
-10.0,1,3.028241
-10.0,1,3.03061
10.0,1,3.034043
-10.0,1,3.037924
10.0,1,3.039929
-10.0,1,3.039929
-10.0,1,3.042938
10.0,1,3.045543
10.0,1,3.047578
10.0,1,3.047578
-10.0,1,3.047578
-10.0,1,3.047578
10.0,1,3.047578
-10.0,1,3.05859
-10.0,1,3.06015
-10.0,1,3.06015
-10.0,1,3.06015
-10.0,1,3.06015
-10.0,1,3.06015
-10.0,1,3.06015
